Country,DataType,01-20,02-20,03-20,04-20,05-20,06-20,07-20,08-20,09-20,10-20,11-20,12-20,01-21,02-21,03-21,04-21,05-21,06-21,07-21,08-21,09-21,10-21,11-21,12-21
Guam,Death,0,0,1,3,0,0,0,5,37,30,33,9,7,2,3,2,3,1,3,2,43,41,25,7
Guatemala,Cases,0,0,36,521,4022,12191,31417,24123,16894,15593,14032,15104,21106,14831,19292,31849,26554,38257,68551,97315,86967,38727,16208,8691
Guatemala,Death,0,0,1,15,74,625,1121,816,478,468,437,632,805,731,430,660,613,982,1033,1547,1599,1364,878,159
Guernsey,Cases,0,0,55,172,1,0,0,0,5,10,18,11,195,282,0,1,1,14,110,328,304,529,1779,3723
Guernsey,Death,0,0,1,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,2,0,1
Guinea,Cases,0,0,16,1335,2211,1580,1851,2063,1225,1368,967,610,753,1362,3916,2307,957,576,1794,3712,982,242,117,871
Guinea,Death,0,0,0,7,16,8,13,13,7,5,4,4,1,7,36,19,17,8,43,115,43,6,2,4
Guinea-Bissau,Cases,0,0,8,68,1055,332,327,168,175,89,9,25,176,612,386,83,32,87,592,1287,304,26,306,36
Guinea-Bissau,Death,0,0,0,1,7,16,2,6,6,2,2,2,0,3,13,4,1,1,6,41,16,6,7,1
Guyana,Cases,0,0,8,63,72,78,163,783,1553,1252,1195,925,1209,932,1632,2771,3716,2981,2413,2865,5956,3806,2225,1413
Guyana,Death,0,0,1,6,3,0,8,15,41,45,25,14,11,19,34,62,87,81,67,76,165,127,74,59
Haiti,Cases,0,0,15,61,1508,3982,1445,797,516,288,218,705,1518,897,310,294,1655,3806,1466,696,1030,1731,1233,689
Haiti,Death,0,0,0,6,28,63,54,40,26,3,0,3,9,5,1,3,65,122,115,28,29,48,59,28
Holy See,Cases,0,0,6,4,1,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holy See,Death,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,Cases,0,0,139,599,4115,12988,22126,18219,15363,20052,10625,13024,24283,21811,18221,20976,25876,22750,32492,38287,26502,9387,2507,1654
Honduras,Death,0,0,2,64,128,278,774,530,443,338,236,202,445,525,444,624,1035,606,813,998,905,463,163,31
Hungary,Cases,0,0,492,2250,1004,269,350,1456,20322,48012,137923,101441,42308,59889,219508,117627,23239,3416,1331,2846,10174,40035,228478,142155
Hungary,Death,0,0,16,292,201,59,11,18,150,969,3004,4560,2857,2396,5679,6545,2033,230,34,32,131,530,3640,4473
Iceland,Cases,0,1,1063,487,2,15,62,221,611,2099,497,350,245,41,150,263,109,61,1314,2742,941,1826,4156,10356
Iceland,Death,0,0,2,8,0,0,0,0,0,2,14,3,0,0,0,0,1,0,0,3,0,0,2,2
India,Cases,5,2,1244,31413,147100,376305,1053377,1925257,2534597,1824535,1247609,803865,459474,339121,1037094,6541311,8882565,2187804,1202359,1113056,929135,506593,302008,242028
India,Death,0,0,32,1036,4017,11499,18347,27958,32209,22963,15028,11117,5280,2659,5311,45403,117247,66559,24351,14209,9042,9847,10543,11833
Indonesia,Cases,0,0,1528,8441,15922,29445,50606,64860,109437,118906,126099,199223,327044,245326,170398,150514,148823,351745,1206550,649405,114966,27630,11648,6033
Indonesia,Death,0,0,136,635,813,1235,2197,2224,3235,3013,3002,5057,7669,5889,4533,4467,4926,7768,35124,37300,8263,1379,407,254
Iran (Islamic Republic of),Cases,0,392,44009,46064,54310,73739,73868,69366,78425,147733,335977,256683,186588,205160,244065,594241,403017,279673,646605,1089736,580899,329171,188554,75253
Iran (Islamic Republic of),Death,0,43,2855,2921,1706,2873,5752,4696,4415,8309,13011,6849,2666,2021,2496,8686,8181,3971,6080,16521,12366,5698,3408,1742
Iraq,Cases,0,17,607,1309,4094,40712,72154,106568,123356,107652,77805,41893,23631,72605,148771,207870,131883,137252,270480,254614,112719,50899,25200,12264
Iraq,Death,0,0,46,42,102,1634,2728,2218,2080,1681,1314,550,228,336,880,1110,886,781,1409,2107,1391,878,637,334
Ireland,Cases,0,0,2909,14753,4340,549,599,2741,7001,25063,11067,17761,100364,22723,15977,12581,12866,10107,27670,50874,40287,53781,117340,198334
Ireland,Death,0,0,54,930,461,105,41,18,30,114,145,179,1067,1039,370,226,49,48,37,57,157,187,216,260
Isle of Man,Cases,0,0,44,258,21,0,0,0,4,13,16,8,55,49,1082,18,6,20,3019,1914,878,2061,1540,4026
Isle of Man,Death,0,0,0,26,7,0,0,0,0,0,1,0,0,0,4,0,0,0,2,5,3,5,9,1
Israel,Cases,0,13,4974,10012,1101,7578,44876,43027,121421,66620,21610,82746,214994,128478,55728,4928,931,2113,30521,191884,202641,44465,14345,37260
Israel,Death,0,0,17,199,63,39,223,373,614,932,309,452,1392,926,440,168,33,8,51,602,664,316,85,49
Italy,Cases,3,885,100611,97799,27201,7442,6627,20706,43772,332849,905829,485437,434333,355048,631875,426000,193453,41838,83661,184654,128416,95158,243087,952881
Italy,Death,0,21,11562,15254,5373,1329,365,336,392,2427,16286,18028,14120,8991,11180,11198,5239,1414,481,1083,1649,1153,1639,3419
Jamaica,Cases,0,0,36,345,179,115,158,1249,4051,2523,1615,2030,2700,7164,15585,6177,2889,1523,2560,14507,15355,5170,2208,2342
Jamaica,Death,0,0,1,6,2,1,0,9,80,98,50,45,46,67,165,174,167,117,112,320,342,360,155,78
Japan,Cases,12,217,1714,11910,2570,1709,15649,32029,14618,16829,45614,81610,152347,42222,39339,112009,152885,51446,113777,543504,213483,21301,4357,6021
Japan,Death,0,5,50,358,459,82,32,268,268,184,353,1275,2194,2138,1226,1032,2738,1692,403,802,1564,613,91,33
Jersey,Cases,0,0,63,221,18,12,15,35,41,156,383,1726,403,63,10,6,9,252,4711,979,694,991,2867,4900
Jersey,Death,0,0,2,18,9,2,0,1,0,0,0,9,24,3,0,0,0,0,0,8,1,2,0,8
Jordan,Cases,0,0,268,177,277,319,203,773,8015,57413,141700,73637,31180,59641,213917,98240,24438,14352,18746,25547,25766,36899,86425,107617
Jordan,Death,0,0,5,3,1,0,2,4,42,711,1865,1064,470,359,2046,1943,616,281,270,366,299,310,546,1012
Kazakhstan,Cases,0,0,312,2985,7307,18860,48013,41142,9111,8742,23426,25880,33256,26249,32781,75190,66164,37227,150783,217656,96997,55999,33827,17065
Kazakhstan,Death,0,0,1,23,13,147,605,1085,197,144,258,272,286,185,2523,649,760,438,1318,4655,2274,1076,695,371
Kenya,Cases,0,0,50,325,1492,4228,13547,13421,4177,15268,28124,12633,4217,4875,26673,24763,11329,12868,17793,32085,13311,3859,1669,37149
Kenya,Death,0,0,1,14,46,80,177,233,130,270,456,198,85,91,291,554,433,449,292,789,393,153,53,41
Kiribati,Cases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiribati,Death,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kosovo[1],Cases,0,0,112,674,265,1692,5226,5004,2120,3708,19215,11548,8606,8582,20251,14556,2217,339,515,35299,14980,677,321,351
Kosovo[1],Death,0,0,1,16,4,18,161,289,100,53,324,316,157,97,259,290,70,15,8,212,445,23,6,6
Kuwait,Cases,0,49,240,3423,22168,18481,20334,17679,19459,20155,16500,7663,14038,24633,39969,40459,33821,45629,40411,11905,1745,998,649,3269
Kuwait,Death,0,0,0,24,179,138,91,83,76,163,99,53,25,119,225,241,208,189,345,98,29,12,4,3
Kyrgyzstan,Cases,0,0,255,848,1045,4302,28587,7599,2711,12037,13364,7856,3373,1641,2123,6737,8977,19892,36497,11888,2656,2651,2024,1285
Kyrgyzstan,Death,0,0,0,8,8,41,871,107,4,80,121,80,56,52,33,104,196,185,316,193,75,64,74,53
Lao People's Democratic Republic,Cases,0,0,9,10,0,0,1,2,1,1,15,2,3,1,4,593,1137,249,3798,8517,8473,15740,32176,36316
Lao People's Democratic Republic,Death,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,7,3,44,101,190
Latvia,Cases,0,0,376,451,207,51,110,162,333,3855,11081,21968,24804,19569,15547,15432,14540,4130,1370,3537,14446,59048,33589,21858
Latvia,Death,0,0,0,15,8,5,2,2,3,32,126,420,545,419,275,226,239,132,43,17,128,517,905,382
Lebanon,Cases,0,11,450,242,466,525,2556,12315,21055,39909,45675,50093,117410,71723,89974,57177,13699,4317,15530,39846,21343,17109,26581,52984
Lebanon,Death,0,0,12,12,2,7,23,101,194,258,367,425,1576,1570,1492,1015,445,119,52,142,263,170,214,377
Lesotho,Cases,0,0,0,0,2,25,577,462,480,352,162,468,5701,2213,195,45,100,513,1492,1487,6855,373,144,6629
Lesotho,Death,0,0,0,0,0,0,13,18,4,7,1,6,110,132,23,1,10,3,45,29,229,26,4,3
Liberia,Cases,0,0,3,135,139,482,401,117,34,83,172,202,139,71,43,46,80,1709,1311,190,205,13,8,581
Liberia,Death,0,0,0,16,11,9,37,7,0,0,1,0,1,1,0,0,1,41,20,97,41,1,0,0
Libya,Cases,0,0,8,51,69,646,2614,10345,19901,25420,21335,17126,17373,13827,24913,18115,7673,7462,55640,58357,30297,16571,14871,15547
