Country,DataType,01-20,02-20,03-20,04-20,05-20,06-20,07-20,08-20,09-20,10-20,11-20,12-20,01-21,02-21,03-21,04-21,05-21,06-21,07-21,08-21,09-21,10-21,11-21,12-21
Paraguay,Cases,0,0,64,174,715,1141,2645,11267,22327,21949,18535,24230,24928,25055,51888,61479,73748,67076,30106,6319,1444,1026,1950,3100
Paraguay,Death,0,0,3,6,2,4,29,247,510,532,344,477,451,448,946,2035,2685,3558,2113,794,451,50,217,155
Peru,Cases,0,0,852,30125,114354,123748,118318,231943,161548,85826,60188,47966,113261,183341,209258,243262,159653,94098,56530,39933,24628,24571,33167,52524
Peru,Death,0,0,95,3993,15033,16858,17483,17475,8549,4310,2907,3413,9667,17864,20230,22764,17088,8284,3883,1918,1066,830,891,1440
Philippines,Cases,1,2,1543,6128,8736,18352,51777,124106,88487,67262,49140,40896,49460,48625,164816,281445,186190,177760,168276,387076,545941,233945,45051,8480
Philippines,Death,0,1,87,470,382,298,717,1497,1890,1681,1152,838,1425,1540,873,3848,3626,3591,3060,5441,4716,4750,5329,2828
Pitcairn Islands,Cases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Death,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poland,Cases,0,0,2055,10329,10694,10368,10638,21182,22590,251320,625277,295366,207139,191106,608841,435049,74122,6954,2946,5696,18043,116771,509550,539078
Poland,Death,0,0,31,591,417,380,246,317,444,2838,11543,11011,8216,6539,9196,13827,5837,1165,213,84,289,1333,6564,12901
Portugal,Cases,0,0,6408,17249,7216,9412,8727,6696,16705,61730,153520,107990,297340,83328,16543,14311,12165,28102,86484,67388,30603,20609,53691,211568
Portugal,Death,0,0,140,829,389,158,151,84,141,497,1920,2325,5273,3794,528,126,49,67,248,369,225,181,273,496
Puerto Rico,Cases,0,0,174,1194,2179,3474,9107,16067,15268,16988,-14426,23343,17115,6420,6638,23566,7142,1331,5461,24000,10550,3535,3187,69500
Puerto Rico,Death,0,0,6,46,79,17,61,215,220,159,272,378,320,203,76,183,198,45,29,252,288,83,35,28
Qatar,Cases,0,5,686,11783,41853,38196,14372,7880,6755,6583,6092,4788,7150,11862,15520,25012,11578,4495,4006,6332,3814,2500,4043,6340
Qatar,Death,0,0,1,8,26,75,58,23,17,18,5,8,3,9,31,159,96,32,11,1,3,4,1,6
Republic of Korea,Cases,11,2919,6260,878,694,1296,1455,5611,3630,2622,7564,26072,16448,11162,13060,18368,17712,16164,40623,51637,57847,50928,80842,178489
Republic of Korea,Death,0,16,145,82,22,11,19,23,89,49,60,374,503,178,126,93,128,55,74,187,189,352,765,1905
Republic of Moldova,Cases,0,0,353,3348,4201,8106,7730,11967,15109,22159,30977,36477,14695,25052,42917,20267,4308,1483,2622,7726,25313,42723,25342,12006
Republic of Moldova,Death,0,0,3,111,177,248,225,214,319,463,556,729,485,558,1138,902,337,89,68,156,358,978,1300,571
Réunion,Cases,0,0,207,173,51,51,131,974,2203,1666,2395,918,959,2420,4170,3795,4520,5682,6648,11452,2895,1427,6520,15414
Réunion,Death,0,0,0,0,1,1,2,0,9,6,18,2,4,6,63,33,41,48,38,57,24,8,10,25
Romania,Cases,0,4,1948,9733,6893,7325,22621,35899,37874,108014,230197,152579,94655,70421,144653,100826,22319,3003,2241,14263,122871,406939,130014,27556
Romania,Death,0,0,65,611,542,368,653,1235,1171,2042,4225,4265,2497,1952,3059,4433,2167,3293,492,258,2295,10283,8631,2185
Russian Federation,Cases,2,0,2335,103721,291412,232971,185576,149876,176238,432885,658873,837241,664103,377992,287445,251024,257359,433182,727731,630288,573693,978242,1082689,830264
Russian Federation,Death,0,0,17,1049,3524,4465,4427,3118,3423,7099,11660,16555,15627,12503,12395,10895,10981,13341,22677,23872,23241,30396,35500,32441
Rwanda,Cases,0,0,70,150,116,631,969,1998,773,294,782,2316,6735,3486,2795,3212,1802,10421,30173,16433,10227,2164,646,10209
Rwanda,Death,0,0,0,0,1,1,3,11,13,6,13,37,101,65,45,26,17,74,371,275,181,55,11,7
Saba,Cases,0,0,0,2,1,0,0,2,0,0,0,0,1,0,0,0,1,0,0,3,0,0,1,19
Saba,Death,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Barthélemy,Cases,0,0,6,0,0,0,2,10,30,41,38,37,189,233,245,119,47,20,178,257,42,25,13,54
Saint Barthélemy,Death,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0
Saint Helena,Cases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Helena,Death,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis,Cases,0,0,2,7,0,0,2,0,2,0,3,10,5,4,3,0,24,371,146,460,827,720,113,136
Saint Kitts and Nevis,Death,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,10,5,0
Saint Lucia,Cases,0,0,9,8,1,1,6,1,1,49,174,83,842,2161,872,280,519,217,275,2530,3165,1077,418,484
Saint Lucia,Death,0,0,0,0,0,0,0,0,0,0,2,3,8,22,24,14,3,5,4,14,90,53,25,15
Saint Martin,Cases,0,0,18,20,3,2,10,160,170,208,99,242,294,265,103,71,281,358,274,715,439,146,90,87
Saint Martin,Death,0,0,1,1,0,0,0,2,3,1,3,0,0,0,0,1,2,12,3,-13,18,2,1,1
Saint Pierre and Miquelon,Cases,0,0,0,1,0,0,3,1,7,0,2,2,8,0,0,1,0,1,2,2,1,1,52,14
Saint Pierre and Miquelon,Death,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent and the Grenadines,Cases,0,0,1,15,9,3,23,6,4,10,11,30,777,655,183,107,171,184,66,35,1088,1443,574,325
Saint Vincent and the Grenadines,Death,0,0,0,0,0,0,0,0,0,0,0,0,2,6,2,1,1,0,0,0,7,45,8,7
Samoa,Cases,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Samoa,Death,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Marino,Cases,0,9,237,328,127,8,2,23,9,250,648,741,631,697,995,265,19,2,75,174,100,120,479,2117
San Marino,Death,0,1,29,9,1,0,0,0,0,0,4,13,7,6,10,6,0,0,0,0,1,1,1,7
Sao Tome and Principe,Cases,0,0,0,11,279,98,476,25,15,34,44,23,242,530,435,76,43,21,80,139,815,253,17,146
Sao Tome and Principe,Death,0,0,0,0,9,1,4,0,0,1,1,0,0,11,5,1,2,0,0,0,13,6,0,1
Saudi Arabia,Cases,0,0,1563,19682,60631,101175,83396,38916,18415,12275,9846,5241,5072,8987,12039,26300,31828,35670,36992,18495,2641,1437,1103,5665
Saudi Arabia,Death,0,0,10,141,318,1096,1193,1004,842,615,482,318,149,113,169,277,390,442,407,302,168,77,40,39
Senegal,Cases,0,0,162,707,2602,3053,3313,3324,1308,611,459,2856,7073,7732,4098,1590,1043,1541,18117,10463,959,142,70,883
Senegal,Death,0,0,0,9,33,66,92,79,25,12,9,69,211,238,177,56,31,27,167,407,93,20,7,5
Serbia,Cases,0,0,785,7824,2372,2876,10649,5813,2073,11586,122260,159553,55974,61187,136230,87348,22667,3986,5058,38034,171507,195831,109824,42302
Serbia,Death,0,0,13,160,63,31,288,138,36,65,729,1559,789,409,827,1029,492,178,65,164,895,1656,1682,997
Seychelles,Cases,0,0,8,3,0,70,33,17,6,10,18,54,919,1391,1496,1649,5502,4059,2577,1700,1379,745,1126,1169
Seychelles,Death,0,0,0,0,0,0,0,0,0,0,0,0,3,7,9,6,13,16,22,16,10,2,8,4
Sierra Leone,Cases,0,0,0,115,728,589,356,199,196,134,45,148,968,294,83,73,86,1348,704,84,27,4,4,581
Sierra Leone,Death,0,0,0,5,39,14,7,3,2,2,0,2,3,0,0,0,0,19,20,1,0,0,0,2
Singapore,Cases,13,82,777,14715,18197,8777,7902,4566,930,238,198,351,908,389,411,740,883,512,2282,2478,26423,98690,65112,14336
Singapore,Death,0,0,3,11,8,3,1,0,0,1,1,0,0,0,1,0,3,3,1,18,38,299,303,109
Sint Eustatius,Cases,0,0,0,2,0,0,1,1,9,1,0,5,1,0,0,0,0,0,0,4,4,0,3,1
Sint Eustatius,Death,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sint Maarten,Cases,0,0,6,69,2,-1,49,316,182,160,236,357,388,229,83,86,174,199,146,881,584,205,87,470
Sint Maarten,Death,0,0,0,13,2,0,0,2,5,0,3,2,0,0,0,0,1,5,1,15,15,9,0,0
Slovakia,Cases,0,0,363,996,118,145,605,1580,6152,46726,45983,72360,65405,57726,52260,19722,7001,1776,988,2219,17385,70050,194455,152115
Slovakia,Death,0,0,1,22,5,0,1,4,15,171,620,1270,2392,2478,2449,1894,611,157,29,8,89,385,1373,2132
Slovenia,Cases,0,0,757,613,44,111,541,709,2605,26827,41129,43962,43715,23143,24025,23690,13280,3562,1737,7433,25151,40839,82567,41185
Slovenia,Death,0,0,13,78,16,1,6,12,21,209,1126,1386,836,315,207,204,114,49,9,19,122,218,532,407
Solomon Islands,Cases,0,0,0,0,0,0,0,0,0,8,9,0,0,1,1,1,0,0,0,0,0,0,0,4
Solomon Islands,Death,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Somalia,Cases,0,0,5,577,1315,928,288,98,278,353,510,263,70,2207,3907,2517,745,271,412,1996,2514,2018,1018,516
Somalia,Death,0,0,0,28,45,12,3,4,2,5,9,17,0,101,271,184,56,6,34,158,134,97,119,6
South Africa,Cases,0,0,1326,3997,25320,111581,330960,131873,45531,49343,62250,249157,391675,58464,33342,31379,81615,288849,461064,323121,123335,19214,41563,478480
South Africa,Death,0,0,3,98,540,4268,5155,6023,2518,1196,1051,6498,15482,5777,2795,1485,2089,3758,11032,9817,5264,1537,645,1218
South Sudan,Cases,0,0,0,34,959,1012,315,175,177,201,178,431,403,3388,2193,370,105,146,210,373,549,392,348,2465
South Sudan,Death,0,0,0,0,10,27,8,1,2,9,2,2,1,23,15,2,0,2,2,1,8,3,0,2
Spain,Cases,1,45,108607,106582,20762,9689,39930,184120,299381,443960,408447,269448,852998,300476,151806,231917,153929,114087,662843,353060,87853,49654,141606,1281438
Spain,Death,0,1,8577,16173,3185,620,171,1024,2982,4858,8941,5546,10778,8839,2949,2178,1364,591,909,2791,1410,550,535,1446
Sri Lanka,Cases,5,0,117,506,968,404,761,234,288,7281,12927,18767,20301,18259,9154,15229,76502,69848,47840,128953,73247,22298,22350,22512
Sri Lanka,Death,0,0,2,5,3,0,0,1,1,7,97,82,112,148,92,96,797,1493,1321,4734,3506,779,586,607
Sudan,Cases,0,0,7,368,4358,4346,2079,1545,457,151,4241,7246,3880,946,1502,2286,1120,1146,724,281,547,2510,2302,3526
Sudan,Death,0,0,2,26,231,301,139,77,13,1,418,296,243,81,189,273,269,123,20,11,51,164,116,177
Suriname,Cases,0,0,8,2,2,478,1092,2304,827,334,111,786,2183,510,185,1109,4229,6596,3699,3553,12022,7480,1796,1208
Suriname,Death,0,0,0,1,0,12,13,41,35,7,6,3,33,16,7,24,87,220,127,70,152,203,76,23
Sweden,Cases,1,2,3933,15813,16992,27937,9325,7504,8301,31838,125759,179742,123313,88007,131415,162647,95684,18763,10003,23583,25331,19615,30189,110061
Sweden,Death,0,0,239,2473,1740,864,264,67,49,133,1126,2459,2427,787,570,562,367,89,16,44,172,152,112,176
Switzerland,Cases,0,32,17865,10640,1057,926,3376,6798,10916,117090,150709,118932,68113,31559,44009,56458,32582,7222,15461,61696,56480,34340,142470,308237
Switzerland,Death,0,0,438,1107,119,9,15,20,62,425,2498,2604,1554,435,278,242,143,59,21,99,194,148,308,702
Syrian Arab Republic,Cases,0,0,10,33,79,147,459,1946,1383,1483,2069,3457,2564,1485,3187,3722,1734,984,439,1816,6018,8941,4664,2073
Syrian Arab Republic,Death,0,0,2,1,1,4,32,66,85,85,125,287,205,102,227,318,174,103,37,93,225,313,178,144
Tajikistan,Cases,0,0,0,0,3792,1970,1412,1141,1143,1208,1138,1471,49,0,0,0,0,170,1499,1735,232,2,7,0
Tajikistan,Death,0,0,0,0,47,5,8,8,7,6,4,4,1,0,0,0,0,0,31,3,0,0,0,0
Thailand,Cases,23,23,1605,1183,121,89,137,100,147,211,214,2876,11619,6333,2832,36264,92748,97279,332453,589415,383944,296795,195683,102677
Thailand,Death,0,0,9,42,3,1,0,0,1,0,1,1,14,6,11,109,807,954,2777,6599,4886,2355,1511,884
The United Kingdom,Cases,0,17,22252,139700,101573,37203,-10353,31286,110283,536481,605667,803231,1307308,353343,165182,68454,67433,287962,1029867,901122,981713,1212926,1131430,2519278
The United Kingdom,Death,0,0,2050,23596,10702,2896,775,310,571,4086,11690,14100,32059,16547,3821,789,264,344,1443,2831,3990,3896,4178,3452
Timor-Leste,Cases,0,0,1,23,0,0,0,3,1,2,0,13,26,43,491,1633,4598,2061,1620,5716,2557,255,33,12
Timor-Leste,Death,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,7,2,41,45,5,0,0
Togo,Cases,0,0,34,75,312,200,265,469,363,512,650,658,1408,1777,3348,2682,490,424,1707,5463,4107,639,171,3898
Togo,Death,0,0,1,6,4,1,4,9,21,7,9,4,9,6,25,14,2,4,23,33,43,13,1,5
Tokelau,Cases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tokelau,Death,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tonga,Cases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Tonga,Death,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago,Cases,0,0,82,31,0,9,27,1514,2714,1119,962,472,401,162,281,2166,12503,8705,5719,5924,5623,6662,12807,20231
Trinidad and Tobago,Death,0,0,3,5,0,0,0,13,52,32,11,6,8,5,3,21,305,343,224,208,181,208,419,691
Tunisia,Cases,0,0,362,586,83,90,360,2251,14450,40092,35136,40447,68328,23730,18894,53197,35569,68708,169462,71153,40635,5391,4562,8270
Tunisia,Death,0,0,9,30,7,2,0,26,185,1046,1871,1360,2004,1220,787,1829,1901,2189,4727,3593,1330,348,124,191
Turkey,Cases,0,0,10827,104058,42899,34671,50175,239573,242309,256391,378982,762624,262249,215701,576292,1471518,422320,170752,279061,639393,736635,854970,737384,645285
Turkey,Death,0,0,168,2867,1341,575,543,635,1760,1982,3306,6896,4984,2510,2816,8200,7274,2160,1521,5126,7128,6356,6024,5356
Turkmenistan,Cases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Death,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands,Cases,0,0,5,7,0,29,63,398,175,17,45,117,585,596,213,57,24,7,56,166,186,136,114,187
Turks and Caicos Islands,Death,0,0,0,1,0,0,0,1,2,0,0,0,2,5,3,0,0,1,0,2,3,0,1,2
Tuvalu,Cases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuvalu,Death,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,Cases,0,0,30,21,275,458,260,1774,5045,4281,7652,14221,4313,756,510,978,5240,32216,12893,25630,3657,2429,1314,13215
Uganda,Death,0,0,0,0,0,0,2,33,43,35,115,72,20,10,-1,7,19,661,1629,312,144,54,37,42
Ukraine,Cases,0,0,549,9737,12811,20322,24886,50159,85656,174453,337185,309924,154976,126364,322034,377800,124408,30465,16984,33027,135008,486889,502143,217308
Ukraine,Death,0,0,13,244,436,441,520,848,1524,3003,5021,5985,4027,3214,6775,10839,6100,1641,554,838,2441,11283,17948,9367
United Arab Emirates,Cases,8,14,639,11265,21415,13689,11556,9184,22859,37318,35124,37232,92839,84985,67836,56818,48837,60324,46414,36516,17357,3832,2071,17470
United Arab Emirates,Death,0,0,6,92,157,50,34,31,32,71,75,93,169,363,271,87,90,127,132,90,54,39,10,15
United Republic of Tanzania,Cases,0,0,19,461,29,0,0,0,0,0,0,0,0,0,0,0,0,0,508,350,24479,308,116,3036
United Republic of Tanzania,Death,0,0,0,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,669,6,5,7
United States of America,Cases,3,54,173343,842775,729191,796177,1847554,1459955,1166189,1778832,4279069,6034517,6052400,2328388,1708642,1770794,924040,372413,1355517,4006635,4039115,2543151,2398200,5340163
United States of America,Death,0,1,3336,56618,42373,22007,28342,30465,20634,22648,40215,76042,96224,65031,31620,19985,16610,9216,8753,30768,53135,46197,30702,40319
United States Virgin Islands,Cases,0,0,30,32,3,12,314,723,184,44,168,466,367,225,261,203,349,385,656,1219,835,483,304,1544
United States Virgin Islands,Death,0,0,0,4,2,0,2,6,6,1,2,0,1,1,1,1,0,3,6,16,17,10,4,3
Uruguay,Cases,0,0,309,305,186,108,305,327,425,1011,2429,12246,22049,15361,42222,90566,92438,75427,13009,3328,3922,4632,5630,10807
Uruguay,Death,0,0,0,14,7,5,8,9,3,9,17,92,251,170,325,1544,1613,1311,395,70,24,23,52,38
Uzbekistan,Cases,0,0,167,1858,1508,4636,14931,17347,14525,9482,5865,3966,1585,1131,2943,7758,9085,10182,18174,26178,16759,11555,6964,5479
Uzbekistan,Death,0,0,2,7,5,9,111,174,146,90,40,4,7,1,7,19,40,46,134,202,151,81,77,79
Vanuatu,Cases,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,2
Vanuatu,Death,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Venezuela (Bolivarian Republic of),Cases,0,0,129,200,1039,3838,11629,27087,27660,16917,10171,10821,12655,11972,19204,35810,35057,37854,32118,28399,31807,37773,24457,12890
Venezuela (Bolivarian Republic of),Death,0,0,3,7,4,30,106,217,233,168,99,127,152,155,239,510,498,455,457,422,433,420,254,177
Viet Nam,Cases,2,11,187,63,58,27,154,482,50,82,163,109,316,613,146,311,4240,9075,124070,299429,317306,124848,302988,476660
Viet Nam,Death,0,0,0,0,0,0,0,30,1,0,0,0,0,0,0,0,12,37,1074,9758,8034,2729,2972,6916
Wallis and Futuna,Cases,0,0,0,0,0,0,0,0,0,1,2,1,1,4,392,41,0,0,0,0,0,0,0,0
Wallis and Futuna,Death,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,0,0,0,0,0,0,0
Yemen,Cases,0,0,0,6,304,805,572,225,73,28,14,20,21,148,1962,1937,416,176,138,768,1170,712,204,122
Yemen,Death,0,0,0,0,75,224,176,71,21,12,6,5,5,16,248,334,93,40,14,94,243,159,60,34
Zambia,Cases,0,0,35,62,951,511,3961,6062,2618,1656,1176,2815,32627,22954,9665,3115,3464,56793,40148,10329,2675,676,416,39024
Zambia,Death,0,0,0,3,4,15,125,136,44,17,8,29,357,296,111,42,27,857,1177,210,46,13,6,63
Zimbabwe,Cases,0,0,8,24,142,396,2501,3243,1340,524,1583,3591,19404,2606,769,1353,687,9572,57626,15721,5712,2134,1249,77076
Zimbabwe,Death,0,0,1,3,0,3,46,129,26,14,33,83,830,241,58,44,27,165,1701,884,197,54,28,290
