Country,Unit,Pred_week_1,Pred_week_2,Pred_week_3,Pred_week_4,Pred_week_5,MAE_week_1,stdAE_week_1,RMSE_week_1,stdRMSE_week_1,MAE_week_2,stdAE_week_2,RMSE_week_2,stdRMSE_week_2,MAE_week_3,stdAE_week_3,RMSE_week_3,stdRMSE_week_3,MAE_week_4,stdAE_week_4,RMSE_week_4,stdRMSE_week_4,MAE_week_5,stdAE_week_5,RMSE_week_5,stdRMSE_week_5
Eswatini,per million inhabitant,34,20,26,27,50,22,28,31,53,25,32,35,56,28,34,39,60,30,36,42,62
Ethiopia,per million inhabitant,0,93,110,115,181,101,118,125,189,110,127,138,200,117,135,148,209,124,140,157,215
Finland,per million inhabitant,1,21,25,26,42,23,27,29,44,25,29,31,46,27,31,34,49,28,32,36,50
France,per million inhabitant,21,1687,2036,2123,3477,1845,2200,2343,3638,2019,2382,2590,3855,2177,2533,2803,4049,2311,2647,2975,4166
French Guiana,per million inhabitant,5,4,5,6,10,5,6,6,10,5,6,7,11,6,7,8,11,6,7,8,12
Gabon,per million inhabitant,0,4,5,5,8,4,5,5,9,5,5,6,9,5,6,7,10,5,6,7,10
Gambia,per million inhabitant,0,5,7,7,14,6,8,8,15,7,9,10,16,8,9,11,17,8,10,12,18
Georgia,per million inhabitant,122,190,229,238,388,208,247,263,406,227,267,290,430,244,284,313,451,259,296,332,464
Germany,per million inhabitant,17,1602,1969,2060,3482,1768,2140,2290,3650,1951,2332,2550,3879,2116,2490,2774,4082,2258,2610,2954,4205
Ghana,per million inhabitant,0,18,22,23,38,20,24,25,40,22,26,28,43,23,28,31,45,25,29,33,46
Gibraltar,,0,2,3,3,6,2,3,3,7,2,3,4,7,3,4,5,8,3,4,5,8
Greece,per million inhabitant,35,282,337,351,563,307,362,385,588,334,391,424,622,359,415,457,652,380,433,484,671
Guadeloupe,per million inhabitant,1,13,18,19,37,15,20,22,39,18,22,25,42,20,24,28,44,22,26,30,46
Guatemala,per million inhabitant,2,209,240,248,369,223,255,268,384,239,271,290,403,253,285,309,421,265,295,324,431
Guinea,per million inhabitant,0,5,7,8,14,6,8,9,15,7,9,10,16,8,9,11,17,8,10,12,17
Guinea-Bissau,per million inhabitant,0,2,2,3,5,2,3,3,5,2,3,3,6,3,3,4,6,3,4,4,6
Guyana,per million inhabitant,20,14,17,17,28,15,18,19,29,16,19,21,31,18,20,22,32,19,21,24,33
Haiti,per million inhabitant,0,11,13,14,23,12,14,15,24,13,15,17,26,14,17,18,27,15,17,20,28
Honduras,per million inhabitant,1,136,157,162,242,145,166,175,252,156,177,190,265,165,186,202,277,173,193,213,284
Hungary,per million inhabitant,68,562,691,723,1223,620,751,804,1283,685,819,896,1363,743,875,974,1435,793,917,1038,1478
Iceland,per million inhabitant,0,0,0,1,2,0,1,1,2,0,1,1,2,1,1,1,2,1,1,1,2
India,per million inhabitant,1,6988,8633,9043,15420,7732,9402,10076,16178,8551,10263,11241,17201,9294,10972,12244,18116,9928,11512,13054,18665
Indonesia,per million inhabitant,0,2225,2843,2997,5395,2504,3133,3386,5680,2813,3456,3824,6065,3092,3723,4201,6409,3330,3926,4506,6616
Iran (Islamic Republic of),per million inhabitant,4,1720,1986,2052,3082,1840,2110,2219,3204,1972,2249,2407,3369,2092,2363,2569,3517,2195,2451,2700,3606
Iraq,per million inhabitant,1,317,367,379,573,339,390,410,596,364,416,446,627,387,438,476,655,406,454,501,671
Ireland,per million inhabitant,11,87,109,114,199,97,119,128,209,108,130,143,222,117,140,157,235,126,147,167,242
Israel,per million inhabitant,0,114,138,144,235,125,149,158,246,137,161,175,260,147,171,189,273,156,179,201,281
