Country,Unit,Pred_week_1,Pred_week_2,Pred_week_3,Pred_week_4,Pred_week_5,MAE_week_1,stdAE_week_1,RMSE_week_1,stdRMSE_week_1,MAE_week_2,stdAE_week_2,RMSE_week_2,stdRMSE_week_2,MAE_week_3,stdAE_week_3,RMSE_week_3,stdRMSE_week_3,MAE_week_4,stdAE_week_4,RMSE_week_4,stdRMSE_week_4,MAE_week_5,stdAE_week_5,RMSE_week_5,stdRMSE_week_5
Czech Rep,per million inhabitant,2456,33630,37844,39682,54674,38404,43653,47154,65030,43249,49358,54610,75260,47644,53966,60931,82412,51509,57447,66056,87886
Democratic Republic of the Congo,,3623,1026,1157,1214,1681,1174,1338,1447,2004,1325,1516,1679,2322,1462,1659,1876,2545,1583,1768,2036,2716
Denmark,per million inhabitant,11224,10672,12361,13098,19107,12586,14689,16093,23258,14527,16977,19081,27359,16289,18824,21616,30226,17839,20219,23670,32420
Dominican Republic,per million inhabitant,50078,5135,5502,5662,6967,5550,6007,6312,7868,5972,6504,6961,8759,6355,6905,7512,9382,6691,7208,7958,9858
Ecuador,per million inhabitant,370,6717,7199,7409,9125,7263,7864,8265,10311,7818,8517,9118,11482,8321,9044,9842,12301,8763,9443,10428,12927
Egypt,per million inhabitant,42,4808,5200,5370,6763,5252,5739,6064,7725,5702,6269,6757,8675,6110,6697,7344,9339,6469,7020,7820,9848
Eritrea,per million inhabitant,29,108,121,127,175,123,140,151,208,139,158,175,241,153,173,195,264,165,184,212,282
Estonia,per million inhabitant,3777,3230,3619,3789,5173,3671,4155,4479,6128,4118,4682,5167,7072,4524,5107,5750,7732,4880,5428,6223,8238
Eswatini,per million inhabitant,847,978,1149,1223,1830,1171,1384,1526,2250,1368,1615,1828,2664,1546,1802,2084,2954,1702,1943,2291,3176
Ethiopia,per million inhabitant,185,5315,5866,6106,8066,5939,6625,7083,9419,6572,7371,8057,10757,7147,7973,8884,11691,7652,8428,9553,12407
Finland,per million inhabitant,1657,3196,3560,3719,5014,3608,4062,4364,5908,4027,4555,5008,6792,4406,4953,5554,7410,4740,5253,5997,7883
France,per million inhabitant,7237,119863,132840,138502,184671,134565,150728,161513,216562,149484,168300,184472,248069,163020,182491,203941,270093,174923,193209,219722,286952
French Guiana,per million inhabitant,3259,612,670,695,899,677,749,796,1040,743,826,898,1179,803,889,984,1276,856,936,1054,1351
Gabon,per million inhabitant,637,530,589,614,824,596,670,719,968,664,749,823,1111,725,814,911,1211,779,862,983,1288
Gambia,per million inhabitant,29,146,168,178,258,171,199,218,313,197,230,258,368,221,254,291,406,241,273,319,435
Georgia,per million inhabitant,2730,12395,13789,14398,19359,13975,15712,16871,22786,15578,17600,19338,26172,17033,19125,21430,28539,18312,20277,23126,30351
Germany,per million inhabitant,1534,95308,106655,111606,151977,108163,122297,131727,179864,121209,137662,151803,207414,133046,150072,168828,226673,143454,159444,182627,241415
Ghana,per million inhabitant,217,1848,2046,2132,2836,2072,2319,2483,3322,2300,2587,2833,3802,2506,2803,3130,4138,2687,2966,3370,4395
Gibraltar,,373,119,137,146,211,140,163,178,256,161,188,211,301,180,208,238,332,197,223,261,356
Greece,per million inhabitant,4456,14716,16363,17082,22944,16582,18634,20003,26993,18476,20865,22918,30993,20195,22667,25390,33789,21706,24028,27394,35930
Guadeloupe,per million inhabitant,776,876,1045,1119,1721,1068,1278,1419,2137,1262,1507,1718,2548,1439,1693,1972,2835,1594,1832,2178,3055
Guatemala,per million inhabitant,87,8169,9003,9367,12336,9114,10153,10847,14386,10073,11283,12323,16412,10944,12196,13575,17828,11709,12885,14589,18912
Guinea,per million inhabitant,409,397,432,448,572,437,481,510,658,477,528,572,743,514,566,624,803,546,595,667,848
Guinea-Bissau,per million inhabitant,1,89,100,105,147,102,116,126,175,115,132,147,204,127,145,164,223,138,154,178,238
Guyana,per million inhabitant,260,507,557,578,755,563,625,666,878,620,692,754,998,672,747,829,1083,718,788,890,1147
Haiti,per million inhabitant,7,345,383,400,537,388,436,468,631,432,488,536,724,472,530,594,789,508,562,640,839
Honduras,per million inhabitant,61,4740,5108,5268,6578,5157,5615,5921,7482,5580,6113,6572,8376,5964,6516,7124,9000,6301,6820,7572,9478
Hungary,per million inhabitant,1028,17401,19759,20788,29178,20073,23010,24969,34973,22784,26203,29141,40697,25243,28781,32679,44700,27406,30729,35547,47763
Iceland,per million inhabitant,6948,371,431,457,670,439,513,563,817,508,594,669,963,570,660,759,1064,625,709,832,1142
India,per million inhabitant,41,491322,561249,591763,840567,570549,657651,715767,1012428,650947,752344,839493,1182212,723893,828821,944411,1300900,788036,886579,1029452,1391751
Indonesia,per million inhabitant,7,60023,68496,72194,102342,69623,80178,87220,123167,79365,91652,102212,143740,88204,100919,114925,158122,95977,107918,125230,169131
Iran (Islamic Republic of),per million inhabitant,151,80780,88989,92570,121774,90080,100304,107126,141947,99517,111419,121648,161876,108079,120396,133963,175807,115608,127175,143945,186471
Iraq,per million inhabitant,30,26920,29442,30542,39515,29777,32918,35014,45713,32677,36333,39476,51836,35307,39091,43260,56117,37621,41174,46327,59393
Ireland,per million inhabitant,9322,10160,11525,12120,16974,11706,13405,14539,20327,13275,15253,16953,23639,14698,16745,19000,25955,15949,17872,20659,27727
Israel,per million inhabitant,2201,18623,20905,21901,30019,21208,24051,25947,35628,23832,27141,29984,41168,26212,29636,33408,45041,28305,31521,36183,48006
Italy,per million inhabitant,5156,76310,84699,88359,118207,85814,96264,103236,138825,95459,107624,118079,159193,104210,116798,130665,173431,111905,123727,140867,184330
Jamaica,per million inhabitant,380,1267,1425,1494,2057,1446,1643,1774,2445,1628,1857,2054,2829,1793,2030,2291,3098,1938,2161,2484,3303
Japan,per million inhabitant,23,24986,28810,30479,44084,29319,34082,37260,53482,33715,39260,44026,62767,37704,43442,49763,69257,41212,46601,54413,74225
Jersey,,395,252,293,311,456,299,349,383,557,346,405,456,656,388,449,517,725,426,483,567,778
Jordan,per million inhabitant,877,14337,16101,16871,23149,16336,18534,20000,27485,18365,20923,23122,31769,20205,22853,25769,34764,21824,24310,27915,37056
Kazakhstan,per million inhabitant,160,14323,15965,16681,22522,16183,18228,19592,26556,18071,20451,22497,30542,19783,22246,24960,33328,21289,23602,26956,35461
Kenya,per million inhabitant,249,3743,4132,4301,5684,4183,4667,4990,6639,4630,5194,5678,7582,5035,5619,6261,8242,5392,5939,6733,8747
Korea,,24523,8683,9878,10400,14652,10037,11526,12519,17590,11411,13144,14634,20492,12658,14452,16427,22521,13755,15439,17881,24074
Kosovo[1],,126,2272,2593,2734,3877,2636,3036,3303,4666,3005,3471,3872,5446,3341,3823,4354,5992,3635,4088,4744,6409
Kuwait,per million inhabitant,358,5298,5770,5976,7655,5833,6421,6813,8815,6375,7060,7648,9961,6868,7576,8356,10762,7301,7966,8930,11375
Kyrgyzstan,per million inhabitant,42,2502,2806,2939,4022,2846,3226,3479,4770,3196,3638,4017,5509,3514,3971,4474,6025,3793,4222,4844,6421
Lao People's Democratic Republic,,5103,1660,1967,2100,3191,2007,2389,2644,3944,2360,2804,3186,4688,2679,3139,3646,5208,2960,3392,4018,5606
Latvia,per million inhabitant,2170,3713,4172,4373,6006,4233,4805,5187,7134,4761,5427,5999,8249,5240,5929,6688,9028,5661,6308,7246,9624
Lebanon,per million inhabitant,1336,9392,10387,10822,14365,10520,11760,12588,16812,11665,13109,14350,19230,12704,14198,15844,20921,13617,15020,17055,22214
Libya,per million inhabitant,590,5035,5538,5758,7550,5605,6233,6651,8788,6184,6915,7542,10011,6710,7465,8298,10866,7172,7881,8911,11520
Liechtenstein,per million inhabitant,3614,86,99,105,149,101,116,127,180,115,133,149,211,128,147,168,232,140,158,183,249
Lithuania,per million inhabitant,3016,6895,7684,8028,10833,7789,8771,9426,12771,8695,9838,10821,14685,9518,10701,12004,16023,10241,11352,12963,17048
Luxembourg,per million inhabitant,4184,1322,1465,1527,2034,1484,1661,1780,2384,1648,1854,2032,2731,1796,2010,2246,2972,1927,2128,2419,3158
Madagascar,per million inhabitant,98,718,825,872,1252,839,972,1061,1514,962,1117,1250,1774,1074,1234,1410,1955,1172,1322,1540,2094
Malawi,per million inhabitant,271,1074,1256,1335,1980,1280,1506,1656,2425,1488,1751,1977,2866,1677,1949,2249,3173,1844,2099,2470,3409
Malaysia,per million inhabitant,587,38171,43303,45543,63804,43986,50379,54644,76418,49887,57329,63725,88880,55241,62942,71426,97591,59948,67181,77668,104259
Maldives,per million inhabitant,1768,1382,1598,1692,2460,1627,1895,2075,2991,1875,2188,2457,3515,2100,2424,2781,3882,2298,2602,3044,4162
Mali,per million inhabitant,35,273,305,319,434,309,349,376,513,346,393,433,591,380,428,481,646,409,455,521,688
Malta,per million inhabitant,7404,674,766,807,1134,779,893,970,1360,885,1018,1133,1584,981,1119,1271,1740,1065,1195,1383,1860
Martinique,per million inhabitant,2203,722,846,900,1342,863,1017,1121,1648,1005,1186,1340,1950,1135,1322,1527,2161,1249,1424,1678,2322
Mauritania,per million inhabitant,143,558,630,661,915,639,728,787,1090,721,825,914,1263,796,903,1021,1385,861,962,1107,1477
Mexico,per million inhabitant,80,49974,54182,56018,70988,54741,59982,63479,81329,59579,65680,70924,91545,63968,70282,77237,98686,67827,73757,82353,104153
Moldova,per million inhabitant,469,4800,5237,5427,6981,5295,5839,6201,8053,5797,6430,6974,9113,6252,6907,7629,9854,6653,7268,8160,10421
Monaco,per million inhabitant,7537,66,75,79,109,76,87,94,130,86,98,109,151,95,108,122,165,103,115,132,176
Mongolia,per million inhabitant,140,5499,6292,6638,9460,6398,7386,8045,11409,7310,8460,9448,13335,8137,9327,10638,14681,8864,9982,11602,15711
Montenegro,per million inhabitant,7079,2123,2323,2410,3118,2349,2597,2763,3608,2578,2867,3115,4091,2786,3085,3414,4430,2969,3249,3656,4688
Morocco,per million inhabitant,116,13301,15095,15878,22262,15334,17569,19060,26671,17397,19998,22234,31027,19268,21960,24926,34073,20914,23442,27108,36404
Mozambique,per million inhabitant,354,2521,2901,3067,4419,2952,3425,3741,5353,3389,3940,4413,6276,3785,4355,4984,6921,4134,4669,5446,7415
Myanmar,per million inhabitant,25,7544,8647,9129,13055,8794,10168,11086,15767,10063,11663,13038,18446,11214,12870,14694,20319,12226,13781,16036,21753
Namibia,per million inhabitant,2450,2078,2380,2511,3584,2420,2795,3046,4325,2766,3203,3579,5057,3081,3533,4031,5568,3357,3782,4398,5960
Nepal,per million inhabitant,57,11606,13217,13920,19654,13432,15439,16778,23615,15284,17621,19630,27528,16966,19384,22048,30263,18444,20715,24008,32357
