0,0,0,10,60,1300,3190,4040,7320,4320,2960,2940,760,920,4080,5380,8660,9780,10290,9340,8110,8200,10750,12360,12990,17570,29000,22440,21760,24570,27330,19910,17240,15880,18510,17760,10400,6900,5230,4260,3200,2690,2120,1720,1330,1240,1090,1230,1030,970,1020,1050,670
0,0,0,10,0,440,2440,1820,9740,4630,4060,5240,4290,3220,5570,5750,11500,15270,14160,14910,8280,6210,13510,20130,21290,17690,30900,32790,29480,25210,21810,22500,17250,16790,18680,20410,18200,11470,10040,6050,4620,3310,2380,1970,1220,1250,1150,1190,1050,940,1100,1280,660
0,0,0,20,0,330,1200,2000,1550,830,710,350,540,730,940,1210,1740,2280,2080,3550,2780,1600,2890,3540,4800,4620,4160,4750,4740,3480,3220,2540,2330,3030,3900,4180,3170,1960,1470,1160,770,620,470,400,260,240,230,260,200,160,180,270,170
0,0,10,20,0,420,2080,1890,3710,3950,2480,2480,2090,2050,2110,4110,6140,7760,10440,14540,11100,7870,9440,10590,13260,15600,15380,16500,17070,14980,14150,12080,9170,9660,12690,14880,13410,9480,6510,3670,2860,2240,1890,1320,980,840,870,800,750,690,670,850,640
0,0,0,40,20,600,2450,3390,7080,5740,3740,3200,720,1000,2660,4030,6860,9280,8930,9430,8200,7530,9330,12700,16260,20020,25270,26990,21340,19650,20660,13770,11630,13550,18690,17860,12260,7820,6310,4790,3570,3510,2850,2060,1830,1720,1550,1640,1260,1170,1260,1430,880
0,0,0,0,0,310,1820,2500,4010,5120,3560,3110,2020,1640,4960,4590,7940,8710,9240,11250,8570,8710,11510,12530,13840,20560,26320,24250,20540,16790,15920,13080,11080,13160,15390,17040,13620,8400,7420,6120,4240,3490,2600,2000,1830,1540,1250,1420,1110,970,1210,1420,820
0,0,0,50,30,820,4020,2750,3960,3680,1940,1600,1330,2210,4600,7020,7130,9200,9640,10840,10230,7980,10720,16190,19200,21320,25700,28150,28040,28390,25090,21760,17930,19250,21250,21310,17630,11980,7930,6220,4540,3390,3080,2370,1650,1660,1410,1360,1210,1140,1140,1350,780
0,0,0,20,10,350,1220,2320,5030,2200,1840,2660,1370,1550,4620,4530,4570,5210,7250,8820,11330,8260,7310,12880,10220,17920,15880,23030,20170,22020,21410,14040,10660,10110,13620,12580,13210,7720,4800,4230,3290,2300,1760,1410,1150,1020,900,1060,850,730,760,940,410
0,0,0,20,30,470,3930,12090,4660,4370,6840,4670,4010,5270,6430,7140,9420,13160,17290,19270,21620,20010,18850,26510,30350,36600,39130,47470,46210,45290,50580,37090,23440,22040,23060,29310,25060,21120,18420,12490,8810,6300,4060,2800,2090,1710,1530,1710,1540,1270,1590,1660,1170
0,0,0,10,20,1090,3430,5590,4040,5860,4800,3780,3720,4080,8410,7350,8890,13650,12730,16750,14560,14790,15030,16850,19160,26990,31000,31790,25540,26270,32720,22370,19250,19330,23390,24370,20890,13210,9320,7420,5620,4960,3790,3020,2410,2060,1750,2040,1880,1550,1680,2060,1120
0,0,0,30,50,1330,4290,8370,9260,11100,8360,6500,3200,2310,2810,5450,11970,19960,25520,35320,27780,24280,28600,39380,37310,46460,57730,59700,58170,65930,77180,55020,41470,41800,47330,42660,31910,19640,14190,11880,9030,6820,5730,5240,3560,3280,3090,3210,2860,2610,3000,3360,2260
0,0,0,0,0,240,1020,1240,2150,2590,1960,1860,1020,1580,1110,1370,1630,1830,3140,7430,6570,2000,3040,9310,7990,7850,7420,9280,8550,5900,5860,6180,5160,6510,4910,4970,4640,2780,1620,1630,1470,1100,840,580,340,330,340,380,300,280,330,420,260
0,0,0,50,60,2100,6000,8330,11550,15050,9200,6420,5240,3050,6350,12840,20140,23500,29110,39020,32090,29320,34680,49100,50670,55720,63440,76300,77630,76550,85590,68330,47350,43630,49840,61280,51440,31430,21090,15820,11290,8670,6710,5250,4030,3450,3470,3720,3190,3020,3090,3760,2530
0,0,0,40,50,510,4370,9650,6950,9710,7530,6030,3900,3270,6200,13170,19480,21710,19600,25710,22110,14120,21840,36350,42150,48280,55200,54730,49680,43180,41830,31470,24930,30700,39010,42130,29510,17250,12780,11000,8300,6910,5100,4490,4010,3430,3070,3280,2770,2460,2790,3200,2180
0,0,0,20,40,1000,2830,12950,5180,4420,6960,2970,2990,4810,6110,7180,10780,11500,13750,23080,21530,20490,20880,27140,29320,36150,40150,47510,53580,53670,58180,50610,40250,31360,32700,38130,34420,29910,19970,13260,8310,6660,4790,3890,2760,2370,2200,2250,1810,1700,1920,2130,1190
0,0,0,0,20,370,1040,2630,3050,2820,1930,1500,480,540,1380,2160,3080,3810,3280,4420,5490,5390,5830,5010,6350,8200,8240,8950,9350,9900,9180,6940,5190,5370,6670,7370,6110,5140,3250,2890,1550,1330,930,840,560,530,400,430,390,320,300,440,260
0,0,0,20,40,750,2150,3240,6160,3230,2880,3430,1980,2320,3560,4270,5410,7350,9740,11950,14140,11670,11640,17580,22930,24010,25280,29170,34650,32190,35140,23600,15120,13320,19520,23900,16900,8080,6790,6210,4030,3080,2600,2170,1610,1460,1420,1360,1140,930,1100,1340,730
0,0,0,40,40,1570,4990,7100,6490,6300,6890,6160,5970,8450,13260,13090,15110,18340,17020,29800,24130,23020,29600,38290,40700,50200,64950,66080,60700,56890,51280,36850,31750,35770,42980,37550,27660,17830,13980,12100,8550,6760,4970,4330,3600,3280,2910,2890,2490,2380,2420,2740,1650
0,0,0,10,20,880,2150,2200,4160,3580,2910,1970,370,530,1430,2250,2480,3450,3810,4630,4390,4060,5820,6340,6730,7800,11200,11350,8920,9850,12540,8430,6810,7390,8160,8380,6730,3720,3020,2290,2000,1670,1240,1040,730,740,580,750,580,580,610,670,430
0,0,0,10,20,610,1630,3480,3940,3780,4470,3480,1100,1330,2040,4090,6810,8920,9460,13610,10370,7920,9350,12240,13700,15770,17520,21320,20570,21970,20990,16600,12310,13060,14720,11390,8270,4800,3540,2580,2040,1830,1350,1160,970,780,810,810,780,710,830,890,630
0,0,0,0,10,130,1130,3490,2140,1950,2660,2310,1750,2070,2450,3620,3780,5310,4770,7750,7980,4800,4340,10910,10080,12590,12110,16390,18910,15240,14380,11910,8380,8010,10390,12930,11240,6270,4300,3500,2240,1840,1400,1090,920,640,600,650,530,510,570,660,390
0,0,0,10,30,520,2420,4330,6830,6950,3890,3620,4760,4420,6070,7810,10440,11670,14680,20240,17420,16720,19280,20230,19680,25190,34650,35260,30960,30350,27250,22470,20390,21440,24980,24140,17380,10990,8310,6870,5100,4040,3110,2720,2330,2060,1790,1820,1550,1340,1460,1530,900
0,0,0,0,20,230,750,1890,2310,3430,2740,2320,800,700,1590,2480,3750,5530,5200,4480,4440,3880,3690,4610,5290,7380,10280,11330,8720,8380,7340,6030,6510,7500,7940,7060,5210,3340,2390,2220,1610,1310,970,1050,720,650,530,520,450,440,490,570,350
0,0,0,20,30,1290,4660,10100,12720,5240,6700,6270,2980,4420,5880,9070,13090,16810,21730,28390,27010,28210,28930,37920,41090,48810,58400,66180,72080,74820,84750,62890,44150,37240,47490,55240,53150,29960,20090,14400,10590,6830,5690,5070,3550,2940,3050,2980,2550,2100,2380,2850,1730
0,0,0,40,30,540,1700,4620,4540,3940,4150,3790,3180,2860,3310,4100,5330,9110,10390,12470,12280,10950,14250,17770,19800,24120,32940,34280,36070,33720,31990,24380,15860,19810,19540,23100,19530,10830,7650,6180,4890,3840,3050,2730,2040,1780,1700,1590,1370,1060,1260,1440,860
0,0,0,0,0,240,710,2300,1320,1440,1570,1210,890,1100,1820,2220,3150,3350,2930,4230,5190,4540,5100,4870,4600,5040,5040,6550,7440,5720,6270,4460,3110,4010,5230,5940,5370,3470,2400,1770,1290,1140,770,450,440,410,310,320,270,260,330,370,240
0,0,0,10,0,390,1490,1780,2650,2640,1900,1810,890,920,1380,2540,4990,5970,9270,9250,7340,6270,6700,9250,11740,12580,13570,13510,12210,14000,12540,9490,7620,7600,9020,10520,10410,7030,4490,3070,2520,2170,1510,1100,1010,860,810,730,650,640,670,830,470
0,0,0,0,0,140,170,1010,770,1180,690,470,460,380,650,730,1040,1500,1770,2640,1370,1380,1410,1650,1250,2150,2100,2460,3360,2300,3370,2240,1700,1810,2480,2550,2480,1260,970,710,570,560,310,250,200,160,180,160,150,140,160,190,100
0,0,0,10,20,440,2530,5300,7960,3920,4190,5140,3520,2900,4360,6210,10840,12240,14360,17040,18640,17170,14340,20600,26060,32120,35980,38600,38850,39320,38150,27850,23130,22660,27270,30750,23640,15140,11620,9280,6820,4430,3110,2340,1990,1600,1680,1620,1550,1220,1380,1560,1100
0,0,0,20,20,840,2040,4800,6090,3160,2560,2460,2170,2590,4650,6100,8420,10420,10770,13940,12330,9840,9210,13000,13200,15720,22680,21890,23880,26150,29830,18390,14080,11830,14650,17790,15910,10090,6000,4120,2620,2320,1760,1570,990,1010,840,830,840,720,770,1010,560
0,0,0,30,20,410,3420,2910,4300,4450,2500,670,1260,1590,3770,6890,8610,9290,6960,8680,9950,10970,11200,14350,16170,26290,27650,29480,27540,24690,23820,17990,12240,13090,18540,20140,17370,8910,6130,4890,3310,2970,2170,1950,1510,1310,1170,1280,1040,900,930,1240,680
0,0,0,0,0,210,1730,850,1510,1320,290,470,170,490,1090,1310,2300,3890,3460,4230,6300,3100,4020,5270,6630,8120,6040,7700,7490,6010,5200,3850,3560,4650,5500,5960,4980,2760,2250,1560,1030,940,750,670,440,380,390,350,290,280,290,370,200
