Country,Pred_week_1,Pred_week_2,Pred_week_3,Pred_week_4,Pred_week_5,MAE_week_1,stdAE_week_1,RMSE_week_1,stdRMSE_week_1,MAE_week_2,stdAE_week_2,RMSE_week_2,stdRMSE_week_2,MAE_week_3,stdAE_week_3,RMSE_week_3,stdRMSE_week_3,MAE_week_4,stdAE_week_4,RMSE_week_4,stdRMSE_week_4,MAE_week_5,stdAE_week_5,RMSE_week_5,stdRMSE_week_5
Czech Rep,2538735,867364,874162,880060,916775,887087,906693,918044,989140,914364,941820,962436,1065845,943838,975488,1007003,1138348,974519,1007655,1051211,1208406
Democratic Republic of the Congo,69063,24051,24229,24383,25343,24567,25079,25376,27235,25280,25998,26537,29241,26051,26878,27703,31137,26853,27720,28859,32970
Denmark,637259,170336,171715,172912,180361,174337,178315,180618,195043,179872,185442,189625,210605,185851,192273,198667,225315,192076,198799,207636,239529
Dominican Republic,419615,185204,186399,187436,193892,188672,192119,194115,206615,193468,198295,201920,220101,198650,204214,209755,232848,204044,209870,217528,245165
Ecuador,546828,250504,252146,253571,262438,255268,260003,262745,279916,261856,268487,273467,298442,268975,276619,284230,315954,276385,284388,294908,332874
Egypt,385959,160720,161718,162583,167969,163614,166490,168155,178585,167615,171643,174668,189838,171939,176583,181206,200475,176440,181302,187691,210752
Eritrea,8029,2674,2698,2718,2846,2743,2811,2850,3098,2838,2933,3005,3364,2940,3050,3160,3616,3047,3162,3313,3860
Estonia,238977,68423,69055,69603,73014,70256,72077,73132,79736,72790,75340,77256,86862,75528,78468,81396,93597,78378,81456,85503,100106
Eswatini,61281,15975,16118,16242,17014,16390,16802,17041,18537,16963,17541,17975,20150,17584,18249,18912,21676,18229,18926,19843,23150
Ethiopia,385366,153275,154408,155391,161511,156563,159831,161723,173574,161109,165686,169122,186360,166022,171298,176551,198445,171137,176660,183920,210123
Finland,227637,59822,60336,60783,63560,61314,62798,63656,69035,63378,65455,67015,74838,65608,68002,70387,80324,67929,70436,73731,85624
France,8761110,3087482,3111093,3131579,3259098,3155987,3224082,3263505,3510438,3250726,3346087,3417692,3776855,3353096,3463024,3572481,4028675,3459658,3574747,3726027,4272001
French Guiana,47882,17067,17192,17301,17978,17431,17792,18002,19313,17934,18440,18820,20728,18477,19061,19642,22065,19043,19655,20458,23358
Gabon,38636,14727,14828,14916,15460,15020,15310,15479,16532,15424,15831,16137,17669,15861,16330,16797,18744,16316,16807,17453,19783
Gambia,10230,4330,4360,4386,4548,4417,4504,4554,4868,4538,4659,4750,5207,4668,4808,4947,5528,4804,4950,5143,5838
Georgia,936683,246284,248535,250489,262649,252817,259310,263070,286618,261851,270945,277773,312024,271613,282096,292534,336038,281775,292750,307177,359242
Germany,7076813,2046458,2062764,2076912,2164980,2093769,2140797,2168024,2338561,2159198,2225057,2274508,2522554,2229897,2305816,2381409,2696467,2303491,2382974,2487452,2864513
Ghana,135038,63305,63688,64021,66091,64417,65522,66162,70170,65955,67503,68665,74495,67616,69401,71177,78582,69346,71214,73670,82531
Gibraltar,8078,2663,2684,2702,2815,2724,2784,2819,3039,2808,2893,2956,3276,2899,2997,3094,3500,2994,3096,3231,3717
Greece,1063725,254987,257460,259606,272964,262163,269296,273425,299292,272087,282076,289577,327200,282810,294325,305791,353578,293973,306028,321875,379067
Guadeloupe,56891,15449,15607,15745,16601,15909,16366,16631,18290,16545,17186,17667,20079,17233,17971,18707,21771,17949,18722,19738,23405
Guatemala,638654,203057,204767,206250,215481,208017,212946,215800,233676,214875,221778,226962,252962,222286,230243,238167,271192,230000,238331,249283,288806
Guinea,31281,15065,15156,15234,15722,15327,15588,15739,16683,15690,16055,16328,17702,16081,16502,16920,18665,16489,16929,17508,19596
Guinea-Bissau,6563,2938,2954,2969,3061,2987,3036,3064,3241,3055,3123,3174,3432,3128,3207,3286,3613,3205,3287,3396,3787
Guyana,39869,11311,11416,11508,12077,11617,11920,12096,13198,12039,12465,12784,14386,12496,12986,13474,15509,12971,13485,14159,16595
Haiti,26591,11303,11372,11431,11800,11502,11698,11812,12527,11776,12051,12258,13297,12072,12390,12706,14025,12380,12713,13150,14729
Honduras,384964,154785,155915,156896,163002,158065,161325,163213,175037,162601,167167,170596,187793,167503,172766,178007,199851,172605,178116,185360,211502
